,time,resids,b_predictor
540,,,4.6750000000000005e-05
541,,,4.6250000000000006e-05
542,,,5.1714285714285726e-05
543,,,5.533333333333334e-05
544,,,5.533333333333334e-05
545,,,5.480000000000001e-05
546,,,5.466666666666667e-05
547,,,4.952380952380953e-05
548,,,4.55e-05
549,,,4.511111111111111e-05
550,,,-3.866666666666667e-05
551,,,-2.9999999999999997e-05
552,,,-2.866666666666666e-05
553,,,-0.00010125925925925926
554,,,-9.4e-05
555,,,-9.392592592592592e-05
556,,,-9.390476190476191e-05
557,,,-8.933333333333334e-05
558,,,-8.466666666666667e-05
559,,,-8.466666666666667e-05
560,,,-8.466666666666667e-05
561,,,-8.491666666666667e-05
562,,,-8.780952380952382e-05
563,,,-9.4e-05
564,,,-9.914285714285715e-05
565,,,-2.725925925925925e-05
566,,,-2.2999999999999997e-05
567,,,-2.475e-05
568,,,5.0285714285714286e-05
569,,,4.9416666666666664e-05
570,,,4.45e-05
571,,,4.8916666666666665e-05
572,,,5.055555555555556e-05
573,,,5.933333333333333e-05
574,,,5.952380952380952e-05
575,,,5.4074074074074075e-05
576,,,5.7333333333333336e-05
577,,,5.7249999999999996e-05
578,,,5.066666666666667e-05
579,,,-3.1259259259259264e-05
580,,,-2.6000000000000002e-05
581,,,-1.8250000000000003e-05
582,,,-1.8476190476190475e-05
583,,,-1.866666666666667e-05
584,,,-1.866666666666667e-05
585,,,-2.5166666666666678e-05
586,,,-1.866666666666667e-05
587,,,-1.8e-05
588,,,5.2380952380952495e-06
589,,,2.5333333333333357e-05
590,,,-8.000000000000006e-06
591,,,-1.4666666666666665e-05
592,,,-8.952380952380942e-06
593,,,-1.2666666666666648e-05
594,,,-2.2833333333333334e-05
595,,,-2.600000000000001e-05
596,,,-2.5809523809523815e-05
597,,,-3.125e-05
598,,,4.4e-05
599,,,4.35e-05
600,,,4.4e-05
601,,,4.3703703703703705e-05
602,,,4.3333333333333334e-05
603,,,4.816666666666667e-05
604,,,5.838095238095237e-05
605,,,5.762962962962962e-05
606,,,-2.752380952380953e-05
607,,,-1.4074074074074068e-05
608,,,-1.333333333333333e-05
609,,,-0.00010152380952380953
610,,,-8.844444444444445e-05
611,,,-9.199999999999999e-05
612,,,-9.199999999999999e-05
613,,,-8.858333333333334e-05
614,,,-8.825e-05
615,,,-9.111111111111112e-05
616,,,-9.199999999999999e-05
617,,,-8.933333333333334e-05
618,,,-8.790476190476191e-05
619,,,-8.233333333333333e-05
620,,,-8.266666666666667e-05
621,,,-8.000000000000006e-06
622,,,-1.1866666666666663e-05
623,,,-2.2750000000000004e-05
624,,,4.809523809523809e-05
625,,,4.562962962962963e-05
626,,,4.8e-05
627,,,4.6666666666666665e-05
628,,,4.3333333333333334e-05
629,,,4.4e-05
630,,,4.7523809523809523e-05
631,,,4.688888888888889e-05
632,,,4.4e-05
633,,,4.383333333333333e-05
634,,,4.6666666666666665e-05
635,,,5.5666666666666674e-05
636,,,5.166666666666667e-05
637,,,-2.2666666666666664e-05
638,,,-1.6e-05
639,,,-1.4666666666666665e-05
640,,,-2.5333333333333334e-05
641,,,-2.7999999999999996e-05
642,,,-2.6833333333333323e-05
643,,,-2.3583333333333342e-05
644,,,-2.4476190476190482e-05
645,,,-2.696296296296296e-05
646,,,-2.761904761904761e-05
647,,,-2.3142857142857145e-05
648,,,-2.4000000000000007e-05
649,,,-2.886666666666667e-05
650,,,-2.7249999999999995e-05
651,,,-2.183333333333334e-05
652,,,-2.2000000000000006e-05
653,,,4.933333333333333e-05
654,,,4.819047619047619e-05
655,,,4.676190476190476e-05
656,,,3.948148148148148e-05
657,,,4.041666666666666e-05
658,,,3.9999999999999996e-05
659,,,3.9999999999999996e-05
660,,,3.9999999999999996e-05
661,,,3.9999999999999996e-05
662,,,3.9999999999999996e-05
663,,,4.044444444444444e-05
664,,,-3.7428571428571434e-05
665,,,-2.133333333333333e-05
666,,,-1.6e-05
667,,,-1.6e-05
668,,,-1.6e-05
669,,,-4.966666666666668e-05
670,,,-5.540740740740741e-05
671,,,-9.466666666666666e-05
672,,,-9.466666666666666e-05
673,,,-9.466666666666666e-05
674,,,-9.466666666666666e-05
675,,,-9.466666666666666e-05
676,,,-9.466666666666666e-05
677,,,-9.466666666666666e-05
678,,,-9.523809523809524e-05
679,,,-9.6e-05
680,,,-0.0001041904761904762
681,,,-2.15e-05
682,,,4.9500000000000004e-05
683,,,4.633333333333333e-05
684,,,4.5619047619047626e-05
685,,,4.541666666666667e-05
686,,,4.0666666666666675e-05
687,,,3.666666666666667e-05
688,,,3.666666666666667e-05
689,,,3.666666666666667e-05
690,,,3.666666666666667e-05
691,,,3.766666666666666e-05
692,,,3.8e-05
693,,,3.733333333333334e-05
694,,,3.733333333333334e-05
695,,,3.7999999999999995e-05
696,,,3.8666666666666674e-05
697,,,4.4857142857142864e-05
698,,,4.7523809523809523e-05
699,,,4.741666666666667e-05
700,,,4.733333333333333e-05
701,,,4.733333333333333e-05
702,,,-3.542857142857143e-05
703,,,-3.1333333333333334e-05
704,,,5.2000000000000004e-05
705,,,5.2000000000000004e-05
706,,,5.2761904761904765e-05
707,,,5.333333333333333e-05
708,,,5.3142857142857146e-05
709,,,5.316666666666667e-05
710,,,5.15e-05
711,,,5.085714285714286e-05
712,,,5.085714285714286e-05
713,,,4.9250000000000004e-05
714,,,4.375e-05
715,,,4.6000000000000014e-05
716,,,4.6000000000000014e-05
717,,,4.6250000000000006e-05
718,,,4.6000000000000014e-05
719,,,
0,,,-8.746666666666667e-05
1,,,-8.444444444444444e-05
2,,,-7.653333333333333e-05
3,,,-7.733333333333333e-05
4,,,
5,,,-7.8e-05
6,,,-7.755555555555555e-05
7,,,-7.188888888888889e-05
8,,,-7.2e-05
9,,,-7.4e-05
10,,,-7.8e-05
11,,,-9.173333333333333e-05
12,,,-9.7e-05
13,,,-9.961904761904762e-05
14,,,-0.00010533333333333334
15,,,-0.00010488888888888889
16,,,-0.00010583333333333332
17,,,-3.144444444444444e-05
18,,,-3.6952380952380956e-05
19,,,-3.45e-05
20,,,-2.7428571428571428e-05
21,,,-2.3500000000000002e-05
22,,,-2.4e-05
23,,,-2.4333333333333333e-05
24,,,-2.44e-05
25,,,-3.208333333333333e-05
26,,,-3.15e-05
27,,,-3.2166666666666665e-05
28,,,-3.08e-05
29,,,-3.1e-05
30,,,-3.0083333333333334e-05
31,,,-0.00011295238095238094
32,,,-9.811111111111111e-05
33,,,-9.925e-05
34,,,-9.966666666666667e-05
35,,,-9.053333333333334e-05
36,,,-9.088888888888889e-05
37,,,-9.053333333333334e-05
38,,,-9.044444444444444e-05
39,,,-9.573333333333333e-05
40,,,-7.047619047619048e-05
41,,,8.88888888888889e-07
42,,,-3.276190476190476e-05
43,,,-3.371428571428571e-05
44,,,-3.4571428571428574e-05
45,,,-3.481481481481481e-05
46,,,-3.523809523809524e-05
47,,,-3.483333333333333e-05
48,,,-3.5047619047619045e-05
49,,,-2.9e-05
50,,,-2.438095238095238e-05
51,,,-2.12e-05
52,,,-1.9333333333333333e-05
53,,,-1.6e-05
54,,,-1.580952380952381e-05
55,,,-1.1333333333333334e-05
56,,,-7e-06
57,,,-7.333333333333332e-06
58,,,-1.2666666666666667e-05
